,geo_field,total_population,total_male,fraction_male
0,ZCTA5 06390,303.0,171.0,0.5643564356435643
1,ZCTA5 11701,28139.0,13289.0,0.4722626959024841
2,ZCTA5 11702,13906.0,6744.0,0.484970516323889
3,ZCTA5 11703,16508.0,7905.0,0.4788587351587109
4,ZCTA5 11704,40257.0,19396.0,0.4818044066870358
5,ZCTA5 11705,7499.0,3664.0,0.4885984797973063
6,ZCTA5 11706,67959.0,33393.0,0.4913697964949455
7,ZCTA5 11713,9176.0,4394.0,0.47885789014821273
8,ZCTA5 11715,4463.0,2192.0,0.49114945104190005
9,ZCTA5 11716,9998.0,5171.0,0.5172034406881376
10,ZCTA5 11717,61568.0,30058.0,0.4882081600831601
11,ZCTA5 11718,3092.0,1526.0,0.4935316946959897
12,ZCTA5 11719,3787.0,1802.0,0.47583839450752574
13,ZCTA5 11720,28823.0,14388.0,0.49918467890226553
14,ZCTA5 11721,5995.0,2711.0,0.45221017514595496
15,ZCTA5 11722,35668.0,18510.0,0.5189525625210273
16,ZCTA5 11724,3243.0,1628.0,0.5020043169904409
17,ZCTA5 11725,29444.0,14247.0,0.4838676810216003
18,ZCTA5 11726,21688.0,10665.0,0.491746587974917
19,ZCTA5 11727,30282.0,14402.0,0.47559606366818574
20,ZCTA5 11729,27311.0,13055.0,0.478012522426861
21,ZCTA5 11730,14168.0,6696.0,0.47261434217955955
22,ZCTA5 11731,29743.0,14828.0,0.4985374710015802
23,ZCTA5 11733,17136.0,8745.0,0.510329131652661
24,ZCTA5 11738,17067.0,9211.0,0.5396964903029238
25,ZCTA5 11739,1119.0,600.0,0.5361930294906166
26,ZCTA5 11740,8953.0,4147.0,0.46319669384563833
27,ZCTA5 11741,27243.0,13826.0,0.5075065154351577
28,ZCTA5 11742,13132.0,6700.0,0.5102040816326531
29,ZCTA5 11743,42531.0,20199.0,0.47492417295619666
30,ZCTA5 11746,70005.0,35026.0,0.5003356903078352
31,ZCTA5 11747,19061.0,8883.0,0.46603011384502385
32,ZCTA5 11749,3349.0,1566.0,0.46760226933412957
33,ZCTA5 11751,14313.0,6961.0,0.48634108852092506
34,ZCTA5 11752,9456.0,4442.0,0.46975465313028764
35,ZCTA5 11754,18357.0,9108.0,0.49615950318679525
36,ZCTA5 11755,12430.0,6145.0,0.49436846339501206
37,ZCTA5 11757,44701.0,22260.0,0.4979754367911232
